date,air_temp,air_temp_avg,wind_speed_10ft,wind_dir_10ft
2016.881612,-8.26,-8.22,0.00,328.00
2016.881631,-8.54,-8.47,0.00,304.90
2016.88165,-8.70,-8.45,0.89,321.00
2016.881669,-8.68,-8.86,0.49,315.20
2016.881688,-8.52,-8.61,0.62,347.00
2016.881707,-8.55,-8.41,0.76,344.60
2016.881726,-7.74,-8.23,0.00,37.52
2016.881745,-7.05,-7.25,0.00,0.21
2016.881764,-6.79,-6.97,0.00,326.10
2016.881783,-6.41,-6.59,0.18,155.10
2016.881859,-6.92,-6.99,0.29,135.30
2016.881821,-7.43,-7.40,0.40,115.50
2016.88184,-7.28,-7.43,0.04,184.00
2016.881859,-7.07,-7.18,0.37,135.70
2016.881878,-6.50,-6.75,0.54,104.80
2016.881897,-6.75,-6.64,0.55,148.70
2016.881973,-6.62,-6.59,0.31,205.15
2016.881935,-6.50,-6.54,0.08,261.60
2016.881954,-6.32,-6.33,1.08,179.20
2016.881973,-6.44,-6.44,0.04,19.45
2016.881992,-6.29,-6.35,0.02,186.03
2016.882011,-6.14,-6.25,0.00,352.60
2016.88203,-6.03,-5.96,0.65,127.30
2016.882049,-5.92,-5.99,0.76,89.10
2016.882068,-5.69,-5.88,0.55,123.90
2016.882087,-5.64,-5.67,-9999.00,67.90
2016.882106,-5.68,-5.81,1.28,194.70
2016.882125,-5.45,-5.54,0.68,189.50
2016.882144,-5.11,-5.32,2.67,13.60
2016.882163,-5.37,-5.16,1.90,302.30
2016.882182,-5.55,-5.67,1.45,257.00
2016.882201,-5.30,-5.39,1.40,279.80
2016.88222,-5.12,-5.23,1.12,280.80
2016.882239,-4.95,-5.08,0.83,281.80
2016.882258,-4.95,-4.93,0.84,332.90
2016.882276,-5.34,-5.23,0.68,311.50
2016.882295,-5.58,-5.69,0.68,10.47
2016.882314,-5.67,-5.57,1.22,284.30
2016.882333,-5.88,-5.80,0.91,313.55
2016.882352,-6.08,-6.04,0.60,342.80
2016.882371,-6.93,-6.40,1.95,320.30
2016.882333,-7.39,-6.97,1.97,298.30
2016.882409,-7.84,-7.55,2.00,276.30
2016.882428,-8.17,-7.97,0.81,243.70
2016.882447,-8.72,-8.37,2.19,350.00
2016.882466,-9.16,-8.92,2.07,317.10
2016.882485,-9.20,-9.28,3.24,282.20
2016.882447,-9.27,-9.30,3.11,288.55
2016.882523,-9.34,-9.31,2.97,294.90
2016.882542,-9.58,-9.48,3.14,303.00
2016.882561,-9.71,-9.70,0.84,318.90
2016.88258,-9.79,-9.75,2.80,307.30
2016.882656,-9.95,-9.87,2.38,320.65
2016.882618,-10.10,-9.98,1.95,334.00
2016.882637,-9.59,-9.90,3.69,310.00
2016.882656,-9.34,-9.43,3.04,300.60
2016.882675,-9.01,-9.19,1.88,280.20
2016.882694,-9.66,-9.51,2.58,276.20
2016.882713,-9.51,-9.23,1.47,287.90
2016.882732,-9.13,-9.55,2.64,306.50
2016.882751,-8.79,-9.08,1.89,302.70
2016.88277,-8.44,-8.60,1.14,298.90
2016.882789,-9.19,-8.81,0.78,331.90
2016.882808,-9.46,-9.31,0.27,123.40
2016.882827,-10.26,-9.82,0.12,34.52
2016.882846,-10.61,-10.64,0.05,295.10
2016.882865,-9.33,-10.31,1.38,287.20
2016.882884,-8.17,-8.62,2.99,299.00
2016.882903,-7.77,-8.08,2.53,279.90
2016.882922,-7.37,-7.54,2.07,260.80
2016.882941,-7.14,-7.22,1.51,292.30
2016.88296,-6.85,-6.95,-9999.00,298.70
2016.882979,-6.54,-6.67,3.44,274.40
2016.882997,-6.21,-6.33,2.58,266.70
2016.883016,-5.92,-6.03,3.94,280.60
2016.883035,-5.63,-5.74,5.31,294.50
2016.883054,-5.25,-5.41,5.26,339.00
2016.883073,-5.12,-5.15,-9999.00,284.30
2016.883092,-4.98,-5.03,3.30,2.67
2016.883111,-4.74,-4.81,3.36,150.89
2016.88313,-4.49,-4.60,3.42,299.10
2016.883149,-3.48,-4.09,1.36,274.00
2016.883168,-3.14,-3.31,3.92,277.10
2016.883187,-3.02,-3.05,5.30,317.30
2016.883206,-2.75,-2.86,5.46,301.50
2016.883225,-2.57,-2.64,6.40,280.00
2016.883244,-2.55,-2.54,3.29,276.10
2016.883263,-2.50,-2.50,4.09,292.60
2016.883282,-2.45,-2.46,4.89,309.10
